#SampleID	ForwardIndex	ReverseIndex	Plant	Species	Description	Sample_type	Localization	Soil_pH	Altitude	Plant_SampleType	Plant_SampleType_Localization	Plant_localization	Root_blackberry	Root_blueberry
MetaMorAran.RL.Ra.P1.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Root from Linares	Root	Linares	5.8	1015	Blackberry_Root	Blackberry_Root_Linares	Blackberry_Linares	Yes	No
MetaMorAran.RL.Ra.P2.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Root from Linares	Root	Linares	5.8	1015	Blackberry_Root	Blackberry_Root_Linares	Blackberry_Linares	Yes	No
MetaMorAran.RL.Ra.P3.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Root from Linares	Root	Linares	5.8	1015	Blackberry_Root	Blackberry_Root_Linares	Blackberry_Linares	Yes	No
MetaMorAran.RL.Rizos.P1.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Rizosphere from Linares	Rizosphere	Linares	5.8	1015	Blackberry_Rizosphere	Blackberry_Rizosphere_Linares	Blackberry_Linares	No	No
MetaMorAran.RL.Rizos.P2.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Rizosphere from Linares	Rizosphere	Linares	5.8	1015	Blackberry_Rizosphere	Blackberry_Rizosphere_Linares	Blackberry_Linares	No	No
MetaMorAran.RL.Rizos.P3.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Rizosphere from Linares	Rizosphere	Linares	5.8	1015	Blackberry_Rizosphere	Blackberry_Rizosphere_Linares	Blackberry_Linares	No	No
MetaMorAran.RM.Ra.P1.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Root from Piedrasluengas	Root	Piedrasluengas	5.04	1355	Blackberry_Root	Blackberry_Root_Piedrasluengas	Blackberry_Piedrasluengas	Yes	No
MetaMorAran.RM.Ra.P2.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Root from Piedrasluengas	Root	Piedrasluengas	5.04	1355	Blackberry_Root	Blackberry_Root_Piedrasluengas	Blackberry_Piedrasluengas	Yes	No
MetaMorAran.RM.Ra.P3.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Root from Piedrasluengas	Root	Piedrasluengas	5.04	1355	Blackberry_Root	Blackberry_Root_Piedrasluengas	Blackberry_Piedrasluengas	Yes	No
MetaMorAran.RM.Rizos.P1.16S			Blackberry	Rubus ulmifolius	16S rRNA metabarcoding of Blackberry Rizosphere from Piedrasluengas	Rizosphere	Piedrasluengas	5.04	1355	Blackberry_Rizosphere	Blackberry_Rizosphere_Piedrasluengas	Blackberry_Piedrasluengas	No	No
