#OTU ID,Blackberry root,Blackberry rhizosphere,Blueberry root,Blueberry rhizosphere
"k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Pezoloma",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum",1,1,1,1
"k__Fungi,__,__,__,__,__",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Mycosymbioces",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Helvellosebacina",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,__,__",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Trechispora",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Myxotrichaceae,g__Oidiodendron",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,__,__,__",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,__",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Pseudotomentella",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Geminibasidiomycetes,o__Geminibasidiales,f__Geminibasidiaceae,g__Geminibasidium",1,1,1,1
"k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces",0,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Hyaloscypha",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__unidentified",0,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Hypomyces",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Stachybotrys",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hydnangiaceae,g__Laccaria",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Lactarius",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita",0,1,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Venturiaceae,g__Venturia",1,1,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Atheliaceae,g__Piloderma",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma",1,1,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,__,__,__",0,1,0,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Vibrisseaceae,g__Phialocephala",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola",1,1,1,1
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Wilcoxina",0,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Atheliaceae,g__Tylospora",1,1,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Verrucariales,f__Verrucariaceae,__",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Boletaceae,g__Imleria",0,1,1,1
"k__Fungi,p__Ascomycota,__,__,__,__",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Leptobacillium",1,1,1,1
