OTU ID,Blackberry root,Blackberry rhizosphere,Blueberry root,Blueberry rhizosphere
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Schizoparmaceae",0,1,1,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Omphalotaceae",0,0,1,0
"k__Fungi,p__Basidiomycota,c__Wallemiomycetes,o__Wallemiales,f__Wallemiaceae",0,0,1,0
"k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__unidentified",0,1,1,0
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae",0,0,1,0
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizales_fam_Incertae_sedis",0,1,1,0
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Baeomycetales,f__Baeomycetaceae",0,1,1,0
"k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,__",0,1,1,0
"k__Fungi,p__Rozellomycota,__,__,__",0,1,1,0
"k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Microstromatales,f__Microstromataceae",0,1,1,0
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae",0,1,1,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae",0,0,1,0
"k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae",1,0,0,0
"k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,__",1,0,0,0
"k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Chytridiales,f__Chytridiaceae",1,0,0,0
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__unidentified",1,0,0,0
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis",1,0,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Hericiaceae",1,0,0,0
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideales_fam_Incertae_sedis",1,0,0,0
"k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Arthoniales,f__Roccellaceae",1,0,0,0
"k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Debaryomycetaceae",1,0,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Valsaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Tulasnellaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Entylomatales,f__Entylomatales_fam_Incertae_sedis",0,1,0,0
"k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__unidentified,f__unidentified",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Fomitopsidaceae",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__unidentified",1,1,0,0
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Trematosphaeriaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Hymenochaetaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricales_fam_Incertae_sedis",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricomycetes_ord_Incertae_sedis,f__Agaricomycetes_fam_Incertae_sedis",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,__",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Dacrymycetes,o__Dacrymycetales,f__Dacrymycetaceae",0,1,0,0
"k__Fungi,p__Entorrhizomycota,c__Entorrhizomycetes,o__Entorrhizales,f__Entorrhizaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Steccherinaceae",0,1,0,0
"k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Chytridiales,f__unidentified",1,1,0,0
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Rhytismatales,f__Rhytismatales_fam_Incertae_sedis",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Corticiales,f__Vuilleminiaceae",0,1,0,0
